Latin,Français
et confirmare illud,et affirmer ceci
"jurejurando,","avec serment,"
datrum inter tutum,devoir leur donner un passage sûr
per suos fines;,à travers son territoire;
"quod quum faciat,",laquelle chose lorsqu'il faissait (en faisant
sese et consulere,lui-même et veiller-aux-interêts
"civitati,","de sa cité,"
"quod levetur hibernis,",parce qu'elle serait soulagée des quartiers-
et referre gratiam Cæsari,et rendre grâce à César
pro meritis ejus.,pour les services de lui.
"Hac oratione habita,","Ce discours ayant été tenu,"
Ambiorix discedit.,Ambiorix se retire.
XXVIII. Arpineius,XXVIII. Arpineius
et Junius,et Junius
deferunt ad legatos,rapportent aux lieutenants
quae audierint.,ce qu'ils avaient entendu.
"IIII, perturbati","Ceux-ci, troublés"
"re repentina,","par cet événement soudain,"
"etsi en dicebantur ab hoste,",bien que ces choses fussent dites par un
tamen existimabant,cependant estimaient
non negligenda :,elles ne pas être à-négliger :
permovebanturque,et ils étaient émus
"maxime hac re,","surtout par cette circonstance,"
quod erat vix credendum,qu'il était à peine croyable
civitatem Eburonum,la cité des Eburons
ignobilem atque humilem,obscure et chétive
ausim sua sponte,avoir osé de son seul mouvement
facere bellum,faire la guerre
populo Romano.,an peuple romain.
Itaque deferunt rem,Aussi ils portent l'affaire
"ad concilium,","devant le conseil,"
magnaque controversia,et un grand débat
exsistit inter eos.,s'éleve entre eux.
L. Aurunculeius,L. Aurunculeius
compluresque tribuni milit-,et plusieurs tribuns des soldats
et centuriones,et centurions
primorum ordinum,des premiers rangs
primorum ordinum,pensaient
existimabant,
"* Nihil agendum temere,",
uec discendum,
ex hibernis,
injussu Cæsari :,
docebant,
copias Germanorum,
etiam quantasvis magnas,
posse sustineri,
hibernis munitis :,
