Latin,Français
magnamque partem,et une grande partie
exercitus,de l'armée
interiisse;,avoir péri
"nihil negotii esse,","rien d'embarras n'être (il était facile),"
legionem,la légion
quae hiemet cum Cicerone,qui hivernait avec Cicéron
oppressam subito,accablée tout à coup
interfici;,être massacrée;
profitetur se adjutorem,il déclare lui-même être auxiliaire
ad eam rem.,pour cette entreprise.
Hac oratione,Par ce discours
"persuadet facile Nerviis,",il persuade facilement la chose aux Ner-
"XXXIX. Itaque,","XXXIX. En conséquence,"
nuntiis,des messagers
dimissis confestim,ayant été envoyés-de-tous-côtés en hâte
"ad Centrones, Grudios,","vers les Centrons, les Grudiens,"
"Levacos, Pleumoxios,","les Lévaques, les Pleumoxiens,"
"Geidunos,","les Geidunes,"
qui sunt omnes,qui sont tous
"sub imperio eorum,","sous l'autorité d'eux,"
cogunt copias,ils rassemblent des forces aussi grandes
quam possunt maximas.,"qu'ils peuvent rassembler les plus grandes,"
et advolant de improviso,et accourent à l'improviste
"ad hiberna Ciceronis,","vers les quartiers-d'hiver de Cicéron,"
fama de morte Titurii,le bruit de la mort de Titurius
nondum perlata ad eum.,n'ayant pas-encore été apporté jusqu'à lui
"Accidit huic quoque,","Il arriva à celui-ci aussi,"
"quod fuit necesse,","ce qui fut (était) nécessaire,"
"ut nonnulli milites,","que quelques soldats,"
qui discessissent in silvas,qui s'en étaient allés dans les forêts
causa ligationis,en vue de la provision-de-bois
"munitionisque,","et de la fortification,"
intercipere,fuurent surpris
adventu repentino equitum.,par l'arrivée soudaine des cavaliers.
"His circumventis,","Ceux-ci ayant été enveloppés,"
"Eburones, Nervii, Aduatuci","les Eburons, les Nerviens, les Aduatuques"
atque socii et clientes,et les alliés et les clients
omnium horum,de tous ces peuples
magna manu,avec une grande troupe
incipiunt,commencent
oppugnare legionem.,à attaquer la légion.
Nostri celeriter,Les nôtres promptement
"concurrunt ad arma,","courent aux armes,"
conscendent vallum.,montent sur le retranchement.
Is dies sustentatur,Ce jour est soutenu (on resiste pendant
"magre,","avec-peine,"
parce que les ennemis,parce que les ennemis
