Latin,Français
"neque timuisse,","et n'avoir jamais craint,"
neque existimavisse,et n'avoir pas pensé
judicium de summa belli,le jugement sur le point-capital de la
"esse suum,",être leur (leur appartenir)
sed imperatoris.,mais du (au) général.
Satisfactione eorum,L'excuse d'eux
"accepta,","ayant été reçue,"
et itinere exquisito,et la route ayant été étudiée
"per Divitiacum,","par l'intermédiaire de Divitiacus,"
quod habebat,parce qu'il avait
maximam fidem ei,la plus grande confiance en lui
"ex Gallis,","parmi les Gaulois,"
ut duceret exercitum,pour qu'il conduisît son armée
locis apertis,par des lieux découverts
circuitu,par un circuit
amplius quinqueaginta mil-,"de plus de cinquante milles,"
profectus est,il partit
"de quarta vigilia,","à la quatrième veille,"
ut dixerat.,comme il avait dit.
"Septimo die,","Le septième jour,"
quum non intermitteret,comme il n'interrompait pas
"iter,","la marche,"
factus est certior,il fut fait mieux-informé (apprit)
ab exploratoribus,par les éclaireurs
copias Ariovisti,les troupes d'Arioviste
abesse-a nostris,étro-éloignées des nôtres
quatuor et viginti,de quatre et vingt (vingt-quatre)
millibus passuum.,milliers de pas.
XLII. Adventu Cæsaris,XLII. L'arrivée de César
"cognito,","étant connue,"
Ariovistus mittit legatos,Arioviste envoie des députés
ad eum:,"vers lui, disant :"
Licere per se,"""Être permis quant à lui-même"
id quod postulasset antea,ce que César avait demandé précédemment
de colloquio,touchant un entretien
"fieri,","avoir lieu,"
quoniam accessisset,puisqu'il s'était approché
propius;,plus près;
seque existimare,et lui-même penser
posse facere id,pouvoir faire cela
"sine periculo.""","sans danger. """
Cæsar,César
non respuit conditionem :,ne rejeta point l'offre :
jamque arbitrabatur eum,et déjà il estimait lui (Arioviste)
"reverti ad sanitatem,","revenir à un esprit-sain,"
quum polliceretur ultro,puisqu'il promettait spontanément
id quod denegasset antea,ce qu'il avait refusé précédemment
