Latin,Français
"aut confisi viribus contenderunt transnatare,",ou s'étant fîcs à leurs forces
aut lintribus inventis repererunt salutem sibi.,"tenterent de passer-à-la-nage,"
"In his fuit Ariovistus, qui, nactus naviculam ad ripam,",ou des barques ayant été découvertes
"deligatam ad ripam, profugit ea : nostri equites",trouvèrent le salut pour eux-mêmes.
nostri equites consecuti omnes reliquos interfecerunt.,"Parmi ceux-ci fut Ariovistus,"
"Duae uxores Ariovisti fuerunt,","qui, ayant rencontré une nacelle"
"una Sueva natione, quam eduxerat secum ab domo;","amarrée à la rive,"
"altera Norica,",s'enfuit sur elle :
"soror regis Vocionis,",nos cavaliers
quam missam fratrem duxerat in Gallia :,ayant atteint tous les autres
utraque perierunt in ea fuga.,les tuèrent.
Duae filiæ harum;,Deux épouses d'Arioviste
"altera occisa est,","furent (étaient),"
altera capta.,"l'une Sueve de nation,"
"C. Valerius Procillus,",qu'il avait emmenée avec lui
quem vinctus trinis catenis trahebat à custodibus,de sa demeure;
"in fuga,","l'autre de-la-Norique,"
"incidit in Cæsarem ipsum,","seur du roi Vociôn,"
persequentem hostes equitatu.,laquelle envoyée par son frère
Quæ quidem res attulit Cæsari,il avait épousée en Gaule :
"voluptatem non minorem quam victoria ipsa,",l'ane-et-l'autre pèrirent
quod videbat,dans cette fuite.
"hominem honestissimum provinciæ Galliæ,","Deux filles de celles-ci,"
"sum familiarem et hospitem,","l'une fut tuée,"
ereptum,l'autre prise.
"e manibus hostium,","C. Valérius Procillus,"
"restitutum sibi,",comme lié de trois chaines
neque fortuna,il était entrainé par ses gardiens
deminuerat quidquam,"dans leur fuite,"
calamitatem ejus,"tomba dans César lni-même,"
,qui poursuivait les ennemis
,avec la cavalerie.
,Laquelle circonstance en vérité
,apporta à César
,un plaisir non moindre
,"que la victoire elle-même,"
,parce qu'il voyait
,l'homme le plus honorable
,"de la province de Gaule,"
,son ami
,"et son hôte,"
,arraché
,"des mains des ennemis,"
,"rendu à lui-même (César),"
,et que la fortune
,n'avait pas retranché quoi-que-fût
,par le malheur de lui
