Latin,Français
"lenitate incredibili,","avec une douceur (lentour) incroyable,"
ita ut non possit judicari oculis in utram partem fluat.,de-telle-sorte que il ne puisse être jugé par les yeux vers quel côté elle coule.
Helvetii transibant id ratibus,Les Helvètiens passaient cette rivière avec des radeaux
ac lintribus junctis.,et des barques jointes ensemble.
Ubi Caesar factus est certior per exploratores,Dès que César était été fait mieux-informés an-moyen-de ses éclaireurs
"jam Helvetios transduxises id flumen tres partes copiarum,",déjà les Helvètiens avoir mené-an-dela-de cette rivière trois parties (les trois quarts) de leurs
quartam vero partem esse reliquam,"mais la quatrième partie [troupes,"
"esse reliquam citra flumen Ararim,","être de-reste (resté encore) en deçà de la rivière de la Saône,"
profectus e castris de tertia vigilia,étant parti de son camp à la troisième veille
"cum tribus legionibus,","avec trois légions,"
"pervenit ad eam partem,","il arrive à cette partie,"
quæ nondum transierat flumen,qui pas encore
"Aggressus eos impeditos et inopinantes,",n'avait passé la rivière.
concidit magnam partem eorum:,"Ayant attaqué eux embarrassés et qui-ne-s'y-attendaient-pas,"
reliqui sese mandarunt fugæ,il tailla-en-pièces
atque abiderunt in silvas proximas.,une grande partie d'eux :
Is pagus appellatur Tigurinus :,les autres
nam omnis civitas Helvetia est divisain quatuor pagos.,se confirment à la fuite
"Hic pagus unus,",et se cachèrent
"quum exisset domo,",dans les forêts les plus proches.
"memoria nostrorum patrum,",Cette bourgade
"nostrorum patrum,",est appelée bourgade des-Tigurins :
interfecerat,car toute la cité des-Helvètiens
"consulem L. Cassium,",est divisée en quatre bourgades.
et miserat sub jugum exercitum ejus.,"Cette bourgade seule,"
"Ita, sive casu,","lorsqu'elle était sortie de sa demeure,"
sive consilio,de la mémoire (du temps)
"deorum immortalium,","de nos pères,"
"ea pars civitatis Helvetia,",avait tué
quæ intulerat,"le consul L. Cassius,"
populo Romano,et avait envoyé (fait passer) sous le joug
est divisée en quatre bourgades.,l'armée de lui.
"Cette bourgade seule,","Ainsi, soit par hasard,"
"lorsqu'elle était sortie de sa demeure,",soit par un conseil
de la mémoire (du temps),"des dieux immortels,"
"de nos pères,","cette partie de la cité helvétique,"
avait tué,qui avait apporté
"le consul L. Cassius,",au peuple romain
