Latin,Français
(quem Ædai),(magistrat que les Éduens
"appellant vergobretum,","appellent vergobret,"
qui creatur annuus,qui est créé pour-un-an
et habet in suos,et a sur les siens
"potestatem vitæ necisque),","pouvoir de vie et de mort),"
"accusat eos graviter,","il accuse eux fortement,"
quod non sublevetur,de ce qu'il n'était pas aidé
"ab iis,","par eux,"
"quum posset neque emi,","quand du ble ne pouvait ni être acheté,"
"neque sumi ex agris,","ni être tiré des champs,"
"tempore tam necessario,","dans un temps si nécessaire (décisif),"
hostibus tam propinquis;,les ennemis étant si proches;
præsertim quum,surtout lorsque
adductus ex magna parte,amené (déterminé) en grande partie
precibus eorum,par les prières d'eux
"susceperit bellum,","il a entrepris la guerre,"
queritur,il se plaint
multo grauis etiam,beaucoup plus
quod destitutus sit.,fortement encore
XVII. Tum domum,qu'il ait été abandonné.
"Liscus,",XVII. Alors enfin
"adductus oratione Cæsaris,","Liscus,"
proponit,"amené (décidé) par le discours de César,"
quod tacuerat anteâ :,expose
"« Nonnullos esse,",ce qu'il avait tu auparavant :
quorum auctoritas,"« Quelques hommes être,"
valeat plurimum,dont l'autorité
apud plebem;,avait-crédit beaucoup
qui privati,auprès du peuple;
possint plus,qui quaique simples particuliers
quam magistratus ipsi.,pouvaient plus
Hos oratione seditiosa,que les magistrats eux-mêmes.
atque improba,Ceux-ci par un langage séditieux
"deterrere multitudinem,",et coupable
"deterrere multitudinem,","détourner la multitude,"
ne conferant frumentum,pour qu'ils n'apportent pas le blé
quod debeant præstare.,qu'ils devaient fournir.
Si jam non possint,Si désormais ils ne pouvaient pas
obtinere principatum,occuper le premier-rang
"Galliæ,","de la Gaule,"
esse satius,être préférable
perferre imperia Gallorum,de supporter la domination de Gaulois
perferre imperia Gallorum,de supporter la domination de Gaulois
"quam Romarum,","quam Romarum,"
"neque dubitare quin,","neque dubitare quin,"
si Romani,si Romains
"superaverint Helvetios,","avaient vaincu les Helvètiens,"
erepturi sint libertatem,ils ne dussent ravir la liberté
Æduis,aux Éduens
