Latin,Français
"XXXII. Hac oratione habita ab Divitiaco, omnes qui aderant cœperunt magno iecta petere auxilium a Cæsare.","XXXII. Hac oratione habita ab Divitiaco, omnes qui aderant cœperunt magno iecta petere auxilium a Cæsare."
"Cæsar animadvertit Sequanos unos ex omnibus facere nihil earum rerum, quas ceteri facerent; sed tristes, capite demisso, intueri terram.","César remarqua les Séquaniens seuls de tous facere nihil earum rerum, quas ceteri facerent; sed tristes, capite demisso, intueri terram."
"Miratus quæsiit ex ipsis anæ esset causa ejus rei. Sequani respondere nihil, sed taciti permanero in eadem tristitia.","Miratus quæsiit ex ipsis anæ esset causa ejus rei. Sequani respondere nihil, sed taciti permanero in eadem tristitia."
"Quum quæreret ab is sæpius, neque posset omnino exprimere ullam vocem, idem Divitiacus Eduus respondit:","Quum quæreret ab is sæpius, neque posset omnino exprimere ullam vocem, idem Divitiacus Eduus respondit:"
"Fortunam Sequanorum esse miseriorem gravioremque præ reliquorum hoc quod soli auderent ne in occulto quidem queri,","Fortunam Sequanorum esse miseriorem gravioremque præ reliquorum hoc quod soli auderent ne in occulto quidem queri,"
"hoc quod soli auderent ne in occulto quidem queri,","hoc quod soli auderent ne in occulto quidem queri,"
velut si adesset coram :,velut si adesset coram :
proprierea quod facultas fugee,proprierea quod facultas fugee
daretur tamen reliquis ;,daretur tamen reliquis ;
"omnes vero cruciatus perferendi essent Sequanis, qui recipissent Ariovistum intra suos fines,","omnes vero cruciatus perferendi essent Sequanis, qui recipissent Ariovistum intra suos fines,"
quorum omnia oppida essent in potestate ejus. »,quorum omnia oppida essent in potestate ejus. »
"XXXIII. His rebus cognitis, Cesar confirmavit verbis animos Gallorum,","XXXIII. His rebus cognitis, Cesar confirmavit verbis animos Gallorum,"
"étant connus,","étant connus,"
"César rassura par ses paroles les esprits des Gaulois,","César rassura par ses paroles les esprits des Gaulois,"
