Latin,Français
transduxit suas copias,il fit passer ses troupes
"preter castra Cæsaris,","le long du camp de César,"
et fecit castra,et fit (assit) son camp
duobus millibus passuum,à deux milliers de pas
"ultra eum, eo consilio,","au delà de lui, dans ce dessein,"
uti intercluderet Cæsarem,qu'il couvât César
frumento commeatique,du blé et des vivres
qui supportaretur,qui étaient apportés
ex Sequanis et Æduis.,de chez les Séquaniens et les Éduens.
Ex eo die,A partir-de ce jour-là
quinque dies continuos,pendant cinq jours de-suite
Cæsar produxit suas copias,César fit-sortir ses troupes
pro castris,devant le camp
"ethabuit aciem instructam,","et eut sa ligne-de-bataille rangée,"
"ut, si Ariovistus","afin que, si Ariovistus"
"vellet contendere proelio,","voulait lutter dans un combat,"
potestas non deesset ei.,le pouvoir n'en manquât pas à lui.
Omnibus his diebus,Tous ces jours-là
Ariovistus,Arioviste
continuit exercitum castris;,retint son armée dans son camp;
contendit quotidie,il lutta chaque-jour
proelio equestri.,dans un combat-de-cavalerie.
Hoc erat genus pugnæ,C'était le genre de bataille
quo Germani,dans lequel les Germains
se exercuerant.,s'étaient exercés.
Sex millia equitum erant;,Six milliers de cavaliers étaient;
totidam pedites numero,tout-autant de fantassins en nombres
"velocissimi ac fortissimi,","très-agiles et très-braves,"
quod singuli,que les cavaliers un-à-un
delegerant singulos,avaient choisis un-à-un
"ex omni copia,","entre toute la quantité des fantassins,"
causa sua salutis.,en vue de leur propre salut.
Equites,Les cavaliers
versabantur in proeliis,allaient-et-venaient dans les combats
"cum his,","avec ceux-ci (ces fantassins),"
se recipiebant ad hos;,se retiraient vers ceux-ci;
"hi concurrebant,","ceux-ci accoursient,"
"si quid erat durius,",si quelque chose était trop pénible;
"si qui decidderat equo,","si quelqu'un était tombé de cheval,"
vulnerere graviore,une blessure assez grave
"accepto,","ayant été reçu,"
circumstebant;,ils l'entouraient;
si prodeundum erat,s'il fallait s'avancer
"quo longius,","quelque-part plus loin,"
"aut recipiendum celerius,","ou se retirer plus vite,"
celeritas horum erat tanta,l'agilité de ceux-ci était si-grande
"exercitatione,","par l'exercice,"
