Latin,Français
Helvetiorum.,des Helvètiens.
Ne aut tribueret magnopere,Que ou il n'attribuât pas beaucoup
"suæ virtuti,","à sa propre valeur,"
"aut despiceret ipsos,","ou il ne méprisât pas eux-mêmes,"
"ob eam rem,","pour ce fait,"
quod adortus esset,qu'il avait assailli
improviso,à l'improviste
"unum pagum,","une seule bourgade,"
quum ii,quand ceux
qui transissent flumen,"qui avaient passé la rivière,"
non posse,ne pouvaient pas
ferre auxilium suis:,porter secours aux leurs :
se didicisse ita,eux avoir appris ainsi
a snis patribus,de leurs pères
"majoribusque,","et de leurs ancêtres,"
ut contenderent virtute,qu'ils luttassent par la valeur
"magis quam dolo,","plutôt que par la ruse,"
aut niterentur insidiis.,[des embûches.
Quare ne committeret,ou (et) plutôt qu'ils ne s'appuyassent sur
"ut is locus,",En conséquence qu'il ne risquât pas
"ubi constittissent,","que ce lieu,"
"caperet nomen,","où ils s'étaient arrêtés,"
"aut proderet memoriam,","ou transmitt un souvenir,"
ex calamitate,par-suite du malheur
populi Romani,du peuple romain
et interneccione exercitus.,et du massacre de son armée.
XIV. Cæsar,XIV. César
respondit ita his:,répondit ainsi à ces paroles :
« Minus dubitationis,« Moins d'hésitation
"dari sibi,","être accordée (permise) à lui-même,"
eo quod teneret memoria,parce qu'il gardsit dans sa mémoire
"eas res,","ces faits,"
quas legati Helvetii,que les députés helvètiens
commemorassent;,avaient rappelés ;
"atque ferre eo gravius,",et lui les supporter d'autant plus péni-
quo accidissent minus,et lui les supporter d'autant plus péni-
merito populi Romani :,"qu'ils étaient arrivés moins [lement,"
qui si fuisset,par le mérite (la faute) du peuple romain:
conscientus sibi,lequel s'il eût été
conscius sibi,ayant-conscience en lui-même
"aliquius injuria,","de quelque injure faite aux Helvètiens,"
non fuisse difficile,ne pas avoir été (il n'ent pas été) difficile
cavere;,de se-tenir-en-garde ;
"sed deceptum eo,",mais le peuple romain avoir été trompé par
quod neque intelligeret,qu'il ne savait pas
commissum a se,"[cela,"
"quare timeret,",que et il ne savait pas
neque putaret timendum,[quelque chose avoir été commis par lui
qu'il,lui
qui il dût craindre),qui il dût craindre)
et il ne pensait pas devoir être craint (qu'il,et il ne pensait pas devoir être craint (qu'il
