Latin,Français
explorat,il examine
quo itinere commodissimo,par quelle route la plus commode
possit transire vallem.,il pourrait passer le vallon.
"L. Eo die,","L. Ce jour-là,"
parvulis proeliis,de tout-petits combats
equestribus,de-cavalerie
"factis ad aquam,","ayant été faits (livrés) auprès de l'eau,"
utrique,les uns-ét-les-autres
sese continent suo loco :,se maintiennent dans leur position :
"Galli, quod expectabant","les Gaulois, parce qu'ils attendaient"
"majores copias,","de plus grandes forces,"
"quæ nondum convenerant,",qui n'étaient pas-encore arrivées;
"Cæsar, si forte","César, pour voir si par hasard"
simulatione timoris,par un semblant de crainte
posset elicere hostes,il pourrait attirer les ennemis
"in suum locum,","sur sa position,"
ut contenderet praelio,afin qu'il luttât par le combat
citra vallum,en deçà de la vallée
pro castris;,devant le camp
"si non posset efficere id,","s'il ne pouvait exécuter ceia,"
"nt. itineribus exploratis,","afin que, les chemins étant examinés,"
transiret vallem rivumque,il passât la vallée et le ruisseau
cum periculo minore.,avec un danger moindre.
Prima luce,Au point-du jour
equitatus hostium,la cavalerie des ennemis
accedit ad castra,s'avance vers le camp
committique proelium,et engage le combat
cum nostris equitibus.,avec nos cavaliers.
Cæsar consulto jubet,César à dessein ordonne
equites cedere,les cavaliers reculer
seque recipere in castra;,et se retirer dans le camp;
simul ex omnibus partibus,en-même-temps de tous les côtés
castra muniri,le camp être fortifié
vallo altiore,d'un retranchement plus haut
portasque obstrui,et les portes être bouchées
atque in administrandis,et en exécutant ces choses
iubet concursari,il ordonne qu'on coure-ét-là
quam maxime,le plus possible
quam agi,et qu'on agisse
et agi,avec un semblant de crainte.
cum simulatione timoris.,LI. Par lesquelles choses
LI. Quibus rebus,toutes ensemble
omnibus,les ennemis attirés
hostes invitati,font-passer leurs troupes
transducunt copias,et rangent leur ligne-de-bataille
constituantque aciem,dans une position désavantageuse;
loco iniquo;,mais les nôtres
nostris vero
