Latin,Français
caperent,elles pren draient
atque unde fieret,et d'ou serait fait
"initium belli,","le commencement de la guerre,"
habebantque,et tenaient
concilia nocturna,des assemblées nocturnes
in locis desertis.,dans des lieux déserts.
Neque fere ullum tempus,Et presque aucun moment
totius hiemis,de tout l'hiver
intercessit,ne se passa
"sine sollicitudine Cæsaris,","sans inquiétude de (pour) César,"
quin acciperet,sans qu'il reçut
aliquem nuntium,quelque message
de conciliis,touchant les assemblées
ac motu Gallorum.,et le mouvement des Gaulois.
In his,Parmi ces nouvelles
factus est certior,il fut fait mieux-informé (fut instruit)
"ab L. Roscio legato,","par L. Roscius son lieutenant,"
quem prefecerat,qu'il avait mis-à-la-tête
"tertisdecimæ legioni,","de la treizième légion,"
Magnas copias Gallorum,De grandes troupes de Gaulois
"earum civitatum,","de ces cités,"
quæ appellantur,qui sont appelées
"Armoricae,","Armoricanes,"
convenisse,s'être rassemblées
"cansa sui oppugnandi,","en vue de l'assiéger,"
neque afuisso,et n'avoir pas été éloignées
suis hibernis,de ses quartiers-d'hiver
longius,plus loin
octo millia passuum ;,que huit milliers de pas;
sed nuntio,mais la nouvelle
de victoria Cæsaris,de la victoire de César
"allato,","ayant été apportée,"
"discessisse,","elles s'être retirées,"
adeo ut discessus,de-telle-sorte que cette retraite
videretur similis fugæ.,parât semblable à une fuite.
"LIV. At Cæsar,","LIV. Mais César,"
principibus,les principaux
cujusque civitatis,de chaque cité
"evocatis ad se,","ayant été appelés auprès de lui,"
"alias territando,","tantôt en effrayant,"
quum denuntiaret,alors qu'il déclarait
se scire,lui-même savoir
"quæ fierent,","quelles choses se faisaient,"
"alias cohortando,","tantôt en exhortant,"
tennit in officio,maintint dans le devoir
magnam partem Galliæ.,une grande partie de la Gaule.
"Tamen Senones,","Cependant les Sénones,"
