Latin,Français
"rem frumentariam, ut posset supportari satis commode.","la provision de-blé, qu'elle ne put être transportée assez aisément."
"Nonnulli etiam renuntiabant Cæsari, quum jussisset castra moveri, ac signa ferri, milites non fore audientes dicto, nec laturos signa propter timorem.","Quelques-uns même rapportaient à César, quand il avait ordonné le camp être déplacé et les enseignes étroortées en avant, les soldats ne devoilèr pas être obéissants à la parole (à l'ordre), et ne devoir pas porter en avant les en-a-cause-de leur peur."
"XL. Quum animadvertisset hæc, concilio convocato, centurionibusque omnium ordinum adhibitis ad id concilium, incusavit eos vehementer :","XL. Après que il eut remarqué ces choses, le conseil ayant été convoqué, et les centurions de tous les rangs ayant été admis à ce conseil, il accusa enx vivement :"
Primum quod putarent quærendum aut cogitandum sibi aut in quam partem aut quo consilio aut quo consilio ducerentur.,D'abord de ce que ils pensaient devoir être demandé ou devoir être pris-à-souci à (par) eux ou de quel côté ou de quel côté on dans quel dessein ils étaient menés.
"Se consule, Ariovistum","Lui-même étant consul, Arioviste"
appatisse enpidissime amicitiam populi Romani; cur quisquam judicaret hunc discessurum ab officio tam temere?,avoir recherché très-avidement l'amitié du peuple romain; pourquoi quelqu'un jugerait-il celui-ci devoir s'éloigner de son devoir si étourdiment?
"Persuaderi sibi quidem, suis postulatis cognitis atque equitare conditionum",Être persuadé à lui-même (César croyait) ses demandes étant connues et l'équité des conditions
"perspecta, eum repudiaturum gratiam neque suam neque populi Romani.","étant examinée, lui (Arioviste) ne devoir repousser les ni de-lui-même (César) ni du peuple romain."
"Quod si impulsum furore atque amentia, intulisset bellum, quid vererentur tandem ?","Que si poussé par la fureur et par la démence il avait apporté (apportait) la guerre, que devaient-ils craindre enfin?"
"aut cur desperant de sua virtute, aut de diligentia ipsius?","ou pourquoi désespéraient-ils de leur propre valeur, ou du zèle de lui-même (César)?"
