Latin,Français
præclusi erant,avaient été fermés
erebris arboribus succisis.,par de nombreux arbres coupés.
Ipsi ex silvis,Eux-mêmes depuis les forêts
"propugnabant rari,","combattaient dispersés,"
prohibebantque nostros,et empêchaient les nôtres
ingredi intra munitiones.,d'entrer dans les retranchements.
At milites,Mais les soldats
"septimæ legionis,","de la septième légion,"
testudine facta,la tortue étant faite
et aggere,et une terrasse
"adjecto ad munitiones,",ayant été élevée auprès des retranchements-
"ceperunt locum,","prisent la position,"
"expuleruntque eos exsilvis,","et chassèrent eux des forêts,"
paceis vulneribus acceptis.,parois blessures ayant été reçues.
Sed Cæsar vetuit,Mais César défendit
prosequi longius,de poursuivre plus loin
"eos fugientes,","eux qui fuyaient,"
"eos fugientes,",et parce qu'il ne connaissait pas
"naturam loci,","la nature du terrain,"
"et quod, magna parte diei","et parce que, une grande partie du jour"
"consumpta,","était épuisée,"
volebat tempus relinqui,il voulait du temps être laissé
munitioni castrorum.,pour la fortification du camp.
"X. Postridie ejus diei,","X. Le lendemain de ce jour,"
"mane,","le matin,"
misit in expeditionem,il envoys en expédition
tripartito,en-trois-divisions
"milites equitesque,","les soldats et les cavaliers,"
ut persequerentur,afin qu'ils poursuivent
eos qui fugerant.,ceux qui avaient fui.
His progressis,Caux-oi s'étant avancés
"aliquantum itineris,","un peu de chemin,"
quum jam extremi,lorsque déjà les derniers des fuyards
"essent in prospectu,","étaient en vue,"
equites,des cavaliers
venerunt ad Cæsarem,vinrent vers César
"a Q. Atrio,","de-la-part-de Q. Atrius,"
"qui nuntiarent,","qui devaient annoncer,"
"nocte superiore,","la nuit précédente,"
"maxima tempestate coorta,","une très-grande tempête s'était élevée,"
prope omnes naves,presque tous les vaisseaux
afflictas esse,avoir été maltraités
atque ejectas in littore;,et jetés sur le rivage :
quod neque ancoræ,parce que ni les ancres
"funesque subsisterent,","et les câbles ne résistaient,"
neque nautæ,ni les matelots
gubernatoresque,et les pilotes
