Latin,Français
nemo audeat liceri contra.,personne n'osait encherir en-opposition
His rebus et auxisse,Par ces moyens lui et avoir accru
"suam rem familiarrem,","son bien de-famille,"
et comparasse,et avoir amassé
magnas facultates,de grandes ressources
ad largiendum;,pour faire-des-largesses;
semper alere suo sumptu,toujours nourrir à ses frais
et habere circums se,et avoir autour de lui
magnum numerum,un grand nombre
equitatus;,de cavalerie (cavaliers)
neque solum,et non-seulement
posse largiter,pouvoir (avoir du crédit) grandement
"domi,","à la maison (dans son pays),"
sed etiam,mais encore
apud civitates finitimas;,auprès des cités voisines;
atque causa hujus potentia,et dans l'intérêt de ce pouvoir
collocasse matrem,avoir établi (marie) sa mère
in Biturigibus,chez les Bituriges
homini nobilissimo,à un homme très-noble
ac potentissimo illip;,et très-puissant là;
ipsum habere uxorem,lui-même avoir une épouse
ex Helvetiis;,de chez les Helvètiens;
collocasse nuptum,avoir établi pour se marier
in alias civitates,dans d'autres cités
sororem ex matre,so secur de mère
et suas propinquas,et ses parentes;
favere et cupere,être-favorable et faire-des-souhaits
Helvetiis,pour les Helvètiens
propter eum affinitatem;,à-cause-de cette alliance;
odisse etiam suo nomine,haïr aur aussi en son nom (personnellement)
"Cæsarem et Romanos,","César et les Romains,"
quod adventu eorum,parce que par l'arrivée d'eux
potentia ejus diminuta sit,la puissance de lui avait été diminuée
et Divitiacus son frère,et Divitiacus son frère
restitutus,rétabli
in antiquum locum,dans son antique place (rang)
gratiæ atque honoris.,de crédit et d'honneur.
"Si quid accidat Romanis,","Si quelque chose arrivait aux Romains,"
venire in summam spem,lui venir au plus haut espoir
obtinendi regni,d'occuper la royauté
per Helvetios;,à-l'aide-des Helvètiens;
imperio populi Romani,sous l'empire du peuple romain
desperare,lui désespérer
"non modo de regno,","non-seulement de la royauté,"
"sed etiam de ea gratia,","mais même de ce crédit,"
quam habeat. »,qu'il possédait. »
Cæsar reperiebat etiam,César découvrait aussi
