Latin,Français
"et cedant, in quam partem Romani feccrint impetum :","et cédent de ce côté, duquel côté les Romains auraient fait une charge :"
posse noceri,ne pouvoir être fait (ou ne pouvait faire)-
nihil ils,en rien à eux (aux Romains)
levitate armorum,par la légèreté de leurs armes
et exercitatione quotidiana;,et leur pratique (mais de combattre)
insequantur,de-chaque-jour (habituelle);
se recipientes rursus ad signa.,qu'ils poursuivent les Romains
"XXXV. Quo praecepto observato diligentissime ab iis,",se retirant de nouveau
quam quæpiam cohors,vers leurs enseignes.
excesserat ex orbe,XXXV. Cette recommandation
"atque fecerat impetum,","ayant été observée très-exactement par eux,"
hostes refugiebant velocissimo.,lorsque quelque cohorte était sortie du cercle
Interim erat necesse,"et avait fait une charge,"
eam partem nudari,les ennemis fuyaient-eu-arrière très-rapidement.
et tela recipi,Pendant-ce-temps il était nécessaire
ab laterre aperto.,ce côté être degarni
"Rursus, quum cœperant",et les traits être recus
"reverti in eum locum,",sur le flanc découvert.
"unde progressi erant,","D'autre-part, lorsque'ils commençaient"
circumveniebantur,"à revenir dans cet endroit,"
et ab iis qui cesserant,"d'où ils s'étaient avancés,"
et ab iis qui proximi,ils étaient enveloppés
steterant;,et par ceux qui s'étaient retirés
sin autem vellent,et par ceux qui étant le plus proches
"tenere locum,",s'étaient tenus en place;
neque locus relinquebatur,mais s'ils voulaient
"virtuti,","garder leur position,"
neque conferti,et une place (carrière)n'était pas laissée
poterant vitare tela,"à la valeur,"
et étant serrés,et étant serrés
poterant vitare tela,ils ne pouvaient pas éviter les traits
conjuncta,lances
ab tanta multitudine.,par une si-grande multitude.
"Tamen,","Cependant,"
"conflictati tot incommodis,","assaillis de tant de désavantages,"
"multis vulneribus acceptis,","de nombreuses blessures ayant été recues,"
"resistebant,","ila résistait,"
"et, inagua parte dici","et, une grande partie du jour"
"consumpta,",était écoulée;
quum pugnaretur,comme on combattait
a prima luce,depuis le point-du jour
ad octavam horam.,jusqu'à la huitième heure.
