Latin,Français
eodem die,le même jour
pervenit ad Ciceronem.,il arrive auprès de Cicéron.
Admiratūr,Il regarde-avec-étonnement
"turres institutas, testudines","les tours dressées, les tortues"
munitionesque hostium :,et les retranchements des ennemis :
"legione producta,","la légion ayant été sortie,"
[litem non quemque decimum mi-,el connait
relictum esse sine vulnere.,pas même chaque dixième soldat(un soldat
Judicat',n'avoir été laissé sans blessure.
ex omnibus his rebus,Il juge
cum quanto periculo,d'après toutes ces circonstances
et cum quanta virtute,avec quel-grand danger
res administratæ sint.,et avec quel-grand courage
collaudat Ciceronem,les affaires avaient été conduites :
pro merito ejus,il loue-tout-ensemble Cicéron
legionemque;,selon le mérite de lui
appellat singillatim,et la légion ;
centuriones,il adresse-la-parole un-à-un
tribunosque militum,aux centurions
quorum cognoverat,et aux tribuns des soldats
testimonio Ciceronis,desquels il avait appris
virtutem fuissæ egregiam.,par le témoignage de Ciceron
Cognoscit certius,la valeur avoir été excellente.
ex captivis,Il apprend un renseignement plus certain
de casu Sabini,des prisonniers
et Cottæ.,sur le malheur de Sabini
et de Cottæ.,et de Cottæ.
Die postero,Le jour suivant
concione habita,une assemblée ayant été tenue
"propouit rem gestam,","il expose l'événement accompli,"
consolatur,il console
et confirmat milites :,et rassure les soldats :
docet detrimentum,il leur montre le revers
quod acceptum sit,qui avait été recu (essuyé)
culpa et temeritate legati,par la faute et l'imprudence d'un lieute-
ferendum animo æquiore,devoir être supporté d'une âme plus égale
"hoo quod,","parce que,"
incommodo expiato,le désastre ayant été expié (vengé)
beneficio,par le bienfait
deorum immortalium,des dieux immortels
et virtute eorum.,"et par le courage d'eux,"
neque letatio ditina,ni une allégresse durable
"relinquatur hostibus,","ni une allégresse aux ennemis,"
neque ipsis dolor longior.,"n'était laissée aux ennemis,"
LIII. Interim,ni eux-mêmes une douleur trop longue.
faina de victoria Cæsaris,LIII. Cependant
le bruit de la victoire de César,le bruit de la victoire de César
