Latin,Français
"uti, nsi eodem consilio,","que, ayant fait-usage de la même résolu-"
"suis oppidis vicisque exustis,",leurs villes et leurs bourgades
proficiscantur una eum iis;,"ayant été consumées,"
proficiscantur una eum iis;,ils partent ensemble avec eux ;
"adsciscuntque sibi socios,",et ils adjoint à eux-mêmes
"receptos ad se,","comme compagnons,"
"Boios, qui incoluerant","admis vers eux (dans leurs rangs),"
"trans Rhenum,","les Boiens, qui s'étaient établis"
et transierant,"au dela du Rhin,"
"in agrum Noricum,",et avaient passé
oppugnantque Noroiam.,"sur le territoire de-la-Norique,"
VI. Deo itinera,et avaient assailli Noréia.
"erant omnino,",VI. Deux routes
quibus itineribus,"étaient en tout,"
possent exire domo :,par lesquelles routes
"unum per Sequanos,",ils pussent sortir de leur maison (pays) :
"angustum et difficile,","l'une à travers les Séquaniens,"
inter montem Juram,"étroite et difficile,"
"et flumen Rhodanum,",entre le mont Jura
qua vix carri,"et le fleuve du Rhône,"
ducerentur singuli ;,par ou à peine les chariots
mons autem altissimus,pouvaient être conduits un-à-un ;
"impendebat,",ou la montagne très-élevée
ut perpauci,[route].
possent facile prohibere :,était suspendue-au-dessus (dominait la
alterum,de sorte-que des ennemis très-pen-nom-
"per nostram provinciam,",pouvaient facilement les écarter : [breux
multo facilius,l'autre
"expeditiusque,","par notre province,"
propterena quod Rhodanus,beaucoup plus facile
fluit inter fines,"et plus dégagée (libre),"
Helvetiorum,parce que le Rhône
"Allobrogum,",coule entre les frontières
"et Allobrogum,",des Helvétiens
"qui pacati erant nuper,","[ment,"
isque,qui avaient été pacifiés (soumis) récem-
nonnullis locis,et que celui-ci (le Rhône)
transitur vado.,en plusieurs endroits
Geneva,se passe à gué.
est extremum oppidum,Genève
"Allobrogum,",est la dernière ville
proximumque,"de Allobroges,"
finibus Helvetiorum.,et la plus proche
Ex eo oppido,des frontières des Helvétiens.
pons pertinet ad Helvetios.,De cette ville
Existimabant sese,un pont aboutit aux Helvétiens.
vel persuasuros,Ils pensaient eux-mêmes
on devoir persuader,on devoir persuader
