Latin,Français
ea spe.,dans cette espérance.
Si stipendium remittatur,Si le tribut était remis
"per populum Romanum,","par-l'intermédiaire-du peuple romain,"
"et ditticii subtrahantur,","et si ses sujets lui étaient soustraits,"
sese recusaturum,lui-même devoir refuser
amicitiam populi Romani,l'amitié du peuple romain
non minus libenter,non moins volontiers
quam appetierit.,qu'il ne l'avait recherchée.
Quod transducit in Galliam,Quant à ce qu'il faisait passer en Gaule
multitudinem,une multitude
"Germanorum,","de Germains,"
se facere id,lui-même faire cela
"causa sui muniendi,","en vue de se fortifier,"
non impugnandae Galliae;,non d'attaquer la Gaule;
testimonium ejus rei esse,"un témoignage (une preuve), de ce fait être"
"quod non venerit,","qu'il n'était pas venu,"
"nisi rogatus, et quod","sinon prié de venir, et que"
"non intulerit bellum,","il n'avait pas apporté la guerre,"
sed defenderit.,mais l'avait repoussée.
Se venisse in Galliam,Lui-même être venu dans la Gaule
priusquam,avant que
populum Romanum.,le peuple romain y être venu.
Nunquam ante hoc tempus,Jamais avant ce temps
exercitum populi Romani,une armée du peuple romain
egressum fines,n'était sorti des frontières
provinciae Galliae.,de la province de Gaule.
Quid vellet sibi?,Que voulait-il pour lui-même?
Cur veniret,Pourquoi venait-il
in suas possessiones?,sur ses possessions?
Hanc Galliam,Cette Gaule-ci (cette partie de la Gaule)
"esse suam provinciam,","être sa province,"
sicut illam nostram.,comme celle-là (cette autre partie) être la
Ut non oporteret,Comme il ne faudrait pas
portret,[notre.
"concedi ipsi,",être permis (qu'on donnait permission) à
si faceret impetum,être permis (qu'on donnait permission) à
"in nostros fines,","[lui-même,"
"si item nostros esse iniquos,",s'il faisait irruption
qui interpellaremus se,"sur notre territoire,"
in suo jure.,"ainsi de même nous être injustes,"
Quod diceret,nous qui troublions lui-même
At nos appellatos frates,dans son droit.
"a senatu,",Quant à ce que César disait
"se non esse tam barbarum,",les Édains avoir été appelés frères
neque tam imperitum,"par le sénat,"
"rerum,","lui-même ne pas être si barbare,"
"ut non sciret,",ni si ignorant
neque Eduos,"des événements,"
"ut non sciret,",qu'il ne sût pas.
neque Eduos,et les Éduens
