Latin,Français
potuit cognosci,put être connu
nam minus tribus horis perfecerunt munitionem,car en moins de trois heures ils achevèrent un retranchement
decem millium in circuitu:,de dix milles en circuit :
diebusque reliquis,et les jours de-reste (suivants)
cooperunt parare,ils commencèrent à préparer
ac facere turres,et à faire des tours
"ad altitudinem valli,","jusqu'à la hauteur du retranchement,"
"falces testudinesque,","des faux et des tortnes,"
quas iidem captivi docuerant.,que les mêmes prisonniers
"XLIII. Septimo die oppugnationis,",leur avaient enseignées.
"maximo vento coorto,","du siège,"
"cooperunt jacere in casas,","un très-grand vent s'étant levé,"
quae tene erant stramentis,ils commencèrent à jeter sur les huttes
"more Gallico,",qui avaient été convertes de chaume
glandes ferventes,"à la manière gauloise,"
ex argilla fusili,des balles brûlantes
et jacula fervefacta.,d'argile en-fusion
He,et des javelines chauffées.
comprehenderit ignem,Celles-ci (les huttes)
celeriter,prirent le feu
et magnitudine venti,rapidement
distuierunt,et par la grandeur (force) du vent
in omnem locum,le portèrent-ça-ét-là
castrorum.,en tout endroit du camp.
"Hostes, insecuti","Les ennemis, ayant suivi(s'élançant alors)"
"maximo clamore,","avec de très-grands cris,"
quasi victoria parta jarr,comme la victoire étant acquise déjà
"atque explorata,","et assurée,"
cooperunt agere turres,commencèrent à pousser des tours
testudinesque,et des tortues
et ascendere vallum,et à escalader le retranchement
scalis.,avec des échelles.
At virtus militum,Mais le courage des soldats
fuit tanta,fut si grand
"atque presentia animi ea,","et leur présence d'esprit telle,"
"ut, quum undique","que, tandis que de-toutes-parts"
torrerentur flamma,ils étaient rôbis par la flamme
premerenturque,et étaient aceables
maxima multitudine,d'une très-grande multitude
telorum,de traits
intelligentque,et savaient
omnia sus impedimenta,tous leurs bagages
atque omnes fortunas,et toute leur fortune
"conflagrare,","se consumer,"
