Latin,Français
"nostros, propter gravitatem armature .","les nôtres (nos soldats), à-cause-de la pesanteur de leurs armes,"
quod neque possent,parce que et ils ne pouvaient pas
"insequi cadentes,","poursuivre les ennemis se retirant,"
"insequi cadentes,",et ils n'osaient pas
neque auderent,"s'ecarter des enseignes,"
"discodere ab signis,",âtre moins aptes
esse minus aptos,pour combattre un ennemi de cette espèce;
ad hostem hujus generis ;,d'autre-part les cavaliers
equites autem,lutter dans le combat
equites autem,"avec un grand danger,"
dimicare proelio,parce que ceux-la (les ennemis) encore
"cum magno periculo,",se retiraient le plus souvent
propterem quod illi etiam,"à dessoin,"
cederent plerumque,"et, quand ils avaient écarté un peu les"
"consulto,","des légions,"
[lum nostros,"des légions,"
"et, quum removissent pau-",sautaient-en-bas des chariots
"ab legionibus,",et luttatient à pied
desilirent ex essedis,dans un combat inégal.
et contendent pedibus,Or le système
proelio dispari.,du combat à-cheval
Ratio autem,apportait un danger égal
proelii equestris,et le même
inferebat periculum par,et aux nôtres se retirant
atque idem,et aux nôtres poursuivant.
et cedentibus,LA (à cela) s'ajoutait
et insequentibus.,que jamais les ennemis ne combattaient
Huo accedebat,"serres (en troupe serrée),"
ut nunquam proeliarentur,mais dispersés
"conferti,","et à de grandes distances,"
sed rari,et avaient des postes
"magnisque intervallia,","disposés en divers endroits,"
habereque stationes,et que d'autres successivement
"dispositas,","reprenaient (prenaient la place) d'autres,"
atque alli deinceps,et que des soldats non-entamés et frais
"exciperent alios,",remplacient les combattants fatigués.
integri et recentes,XVII. Le jour suivant
succederent defatigatis.,les ennemis
Die postero,se tinrent sur les collines
nostes,"loin du camp,"
"constant in, collibus",et commencèrent à se montrer
"procul a castris,","peu-nombrex,"
cooperuntque se ostendere,et à harceler nos cavaliers
"rari,",par le combat
et lacessere nostros equites,plus mollement que la veille.
proelio,"Mais à midi,"
