Latin,Français
"His rebus confectis, pronuntiat in concilio se arcecitum a Senonibus et Carnutibus compluribusque aliis civibus Gallis,","Cea choses ayant été achevées, il déclara dans l'assemblée lui-même appeleé par les Sénonaïs et les Carnutes et plusieurs autres cités de la Gaule,"
"facturum iter huc per fines Remorum, populaturumque agros eorum","devoir faire route (se rendre) là à travers le territoire des Rémois, et devoir ravager"
"ac, prius quam faciat id, oppugnaturum castra Labieni : praecept","et, avant qu'il fasse cela, devoir attaquer le camp de Labiénus : il prescrit"
quae velit fieri.,ce qu'il veut être fait.
"LVII. Labicnus, quum sese tenere","LVII. Labienus, comme il se tenait enfermé"
"castris munitissimis et natura loci et manu,","dans un camp très-fortifié [des hommes, et par la nature du lieu et par la main"
timebat nihil de suo periculo,ne redoutait rien
de suo periculo,relativement à son danger
ac legionis;,et à celui de la légion;
cogitabat,il songeait
ne dimitteret,à ce qu'il ne laissât-pas-échapper
quam occasionem,quelque occasion
gerenda rei bene.,de faire l'affaire bien (de remporter un succès).
Itaque,Anssi
"oratione Indutiomari, quam habuerat in concilio,","le discours d'Indutiomare, qu'il avait tenu dans l'assemblée,"
cognita a Cingetorige,étant appris de Cingétorix
"atque propinquis ejus,","et des proches de lui,"
mittit nuntios,il envoie des messagers
ad civitates finitimas,aux cités voisines
evocatque unique equites :,et appelle de-tous-côtés des cavaliers :
dicit iis den certum,il indique à eux un jour déterminé
conveniendi.,de (pour) se réunir.
Interim prope quotidie,Cependant presque chaque-jour
Indutiomarus,Indutiomare
cum omni equitatu,avec toute sa cavalerie
"vagabatur sub castris ejus,","rôdait sous le camp de lui,"
alias ut cognoscere,tantôt pour qu'il reconnaît
"situm castrorum,","l'assiette du camp,"
alias causa colloquendi,tantôt en vue de conférer
ant territandi :,ou à intimider :
plerumque omnes equites,le plus souvent tous ses cavaliers
conjiciebant tela,l'angaient des traits
intra vallum.,en dedans de la palissade.
