Latin,Français
Concessit Etnis petentibus,Il accorda aux Éduens le demandant
quod erant cogniti,qu'ils étaient sur leur territoire
virtute egregia,"les Boiens,"
"quibus illi dederunt agros,",parce qu'ils étaient connus
quosque postea,par leur valeur hors-ligne :
receperunt,auxquels ceux-la (les Éduens) donnèrent
in conditionem parem,et lesquels dans-la-suite
juris ac libertatis,ils admirant
atque ipsi erant.,à une condition pareille
XXIX. Tabulæ,de droit et de liberté
confectæ litteris Græcis,dans laquelle aussi eux-mêmes étaient.
repertæ sunt,XXIX. Des tables
"in castris Helvetiorum,",confectionnées en caractères grecs
et relata ad Cæsarem;,furent trouvées
in quibus tabulis,"dans le camp des Helvètiens,"
ratio confecta erat,"et rapportées à César,"
"nominatim,",sur lesquelles tables
"qui numerus,",le compte avait été fait
"qui possent ferre arma,","nominalement,"
exisset domo eorum;,qui nombre
"et item separatim pueri,",de gens qui pouvaient porter les armes
senes mulieresque.,était sorti de la demeure d'eux;
Quarum rerum omnium,"et de même séparément les enfants,"
"summa erat,",les vieillards et les femmes.
ducenta,Desquelles choses toutes-ensemble
tria et sexaginta millia,"le total était,"
"capitum Helvetiorum,",deux-cent
sex et triginta millia,"trois et soixante (soixante-trois) milliers,"
"Tulingorum,","de têtes helvètiennes,"
quatorze milliers,six et trente (trente-six) milliers
quatorze milliers,"de Tulinges,"
"Latobrigorum,",quatorze milliers
"tria et viginti Rauracorum,","de Latobriges,"
duo et triginta Boiorum;,"trois et vingt (vingt-trois) de Rauraques,"
"ex his,",deux et trente (trente-deux) de Boiens;
"qui possent ferre arma,","parmi ceux-ci,"
ad duo et nonaginta millia.,"ceux qui pouvaient porter les armes,"
Summa omnium fuerunt,vers deux et quatre-vingt-dix milliers.
ad trecenta,Le total de tous furent (fut)
octo et sexaginta millia.,vers trois-cent
Numerus eorum,huit et soixante (soixante-huit) milliers.
"qui redierunt domum,",Le nombre de ceux
"censu habito,","qui retournaient dans leur demeure,"
"ut Cæsar imperaverat,","le recensement ayant été tenu (fait),"
repertus est,"comme César l'avait commandé,"
centum et decem millium.,fut trouvé
de cent et dix milliers.,de cent et dix milliers.
