Latin,Français
sine causa.,sans motif.
Quod si vellet oblivisci,Que s'il voulait oublier
"veteris contumelie,","l'ancien outrage,"
num etiam posse,est-ce que aussi lui pouvait
deponere memoriam,déposer (perdre) la mémoire
"injuriarum recentium,","des injures récentes,"
quod eo invito,à savoir que lui ne-voulant pas
tentassent iter per vim,ils avaient essayé de faire route par force
"per provinciam,","à travers la province,"
"quod vexassent Ednos,","qu'ils avaient maltraité les Éduens,"
"quod Ambarrros,","qu'ils avaient maltraité les Ambarres,"
quod Allobrogas?,qu'ils avaient maltraité les Allobroges?
Quod gloriarentur,Quant à ce qu'ils se glorifiaient
tam insolenter,si insolemment
"sua victoria,","de leur victoire,"
quodque admirarentur,et qu'ils s'étonnaient
se tulisse tam diu,eux (les Romains) avoir supporté si long-
"injurias impune,","leurs injures sans-vengeance,"
pertinere eodem,[temps cela tendre au-mê-me-but (avoir le même
deos enim immortales,en effet les dieux immortels
"consuesse,",[résultat]
quo homines,"avoir-coutume,"
quo homines,afin que les hommes
quos velint ulcisci,qu'ils veulent punir
pro scelere eorum,selon le crime d'eux
doleant gravius,soient affligés plus lourdement
ex commutatione,par-suíte-d'un changement
"rerum,","de choses (de fortune),"
concedere his interdum,d'accorder à ceux-ci de-temps-en-temps
res secundiores,des événements plus favorables
et impunitatem,et une impunité
diuturniorem.,plus longue.
"Quum ea sint ita,","Quand ces choses étaient ainsi,"
"tamen, si obides","cependant, si des otages"
"dentur sibi ab iis,","étaient donnés à lui par eux,"
uti intelligat facturos,pour qu'il comprît eux devoir faire
"ea quae polliceantur,","ces choses qu'ils promettaient,"
et si satisfaciant Eduis,et s'ils donnaient-satisfaction aux Éduens
de injuriis,touchant les injures
quas intulerint,qu'ils avaient apportées (faites)
"ipsis sociisque eorum,","à eux-mêmes et aux alliés d'eux,"
si item,si de même ils donnaient satisfaction
"Allobrogibus,","aux Allobroges,"
sese facturum esse pacem,lui-même devoir faire la paix
cum iis. »,avec eux. »
Divico respondit:,Divicon répondit :
« Helvetios,« Les Helvètiens
institutos esse ita,avoir été formés ainsi
