Latin,Français
"turres contabulantur,","les tours sont revêtues-de-planches,"
vinne loricaeque,les créneaux et les parapets
attexuntur ex cratibus.,sont bordés de claies.
"Cicero ipse,","Cicéron lui-même,"
quum esset,quoiqu'il fût
"valetudine tenuissima,","d'une santé très-faible,"
ne relinquebat quidem sibi,ne laissait même pas à lui-même
tempus nocturnum,le temps de-la-nuit
"ad quietem,","pour le repos,"
ut cogetetur ultro,tellement qu'il était forcé spontanément
concursu,par l'attroupement
ac vocibus militum,et les paroles des soldats
sibi parcere.,à se niénager.
XII. Tune duces,XII. Alors les chefs
"principesque Nerviorum,","et les principaux des Nerviens,"
qui habebant cum Cicerone,qui avaient avec Ciceron
aliquem aditum sermonis,quelque accès (facilité) d'entretien
"causamque amicitiae,","et quelque motif d'amitié,"
dicunt,disent
sese velle colloqui.,eux-mêmes vouloir conférer avec lui.
"Potestate facta,",L'autorisation ayant été faite (donnée;
commorant eadem,ils exposent les mêmes choses
que Ambiorix egerat,qu'Ambiorix avait traitées
cum Titurio:,avec Titurius:
Omnem Galliam,Toute la Gaule
"esse in armis,","être en armes,"
Germanos,les Germains
"transisse Rhenum,","avoir passé le Rhin,"
hiberna Cæsaris,les quartiers-d'hiver de César
reliquorumque,et des autres
oppugnari.,être assaillis.
Addunt etiam,Ils ajoutent aussi quelques mots
de morte Sabini;,touchant la mort de Sabinus;
ostentant Ambiorigem,ils montrent-avec-affection Ambiorix
causa facienda tidei.,en vue de faire créance (de faire croire)
Dicunt,[qu'ils rapportent].
"Eos errare,",Ils disent
si sperent,[qu'ils rapportent].
quidquam præsidii,"Eux (les Romains) setromper,"
ab his,s'ils espèrent
qui diffidant,quoi-que-ce-soit d'appui
suis rebus;,de-la-part-de ceux (de gens)
scese tamen,qui n'avaient-pas-confiance
esse hoc animo,en leurs propres affaires;
esse hoc animo,eux-mêmes cependant
in Ciceronem,être de cette (d'une telle) disposition
"populumque Romanum,",envers Ciceron
"ut nihil, nisi recusent","et le peuple romain,"
"qu'ils ne font rien, sinon qu'ils refusent","qu'ils ne font rien, sinon qu'ils refusent"
