Latin,Français
se effunderet in agros,se répandait dans les champs
liberiis,plus librement que d'habitude
causa prædandi,en vue de piller
vastandique,"et de dévaster,"
omnibus viis semitisque,toutes les routes et les sentiers
"notis,","étant connus de lui,"
emitttebat ex silvis,il envoyait des forêts
"essedarios,","des soldats-combattant-sur-des-chariots,"
et configebat cum iis,et luttait avec ceux-ci
cum magno periculo,avec un grand péril
"nostrorum equitum,","de (pour) nos cavaliers,"
atque hoc metu,et par cette crainte
prohiboebat vagari latius.,les empêchait de courir plus au loin.
Relinoebatur,Ceci était laissé (restait)
ut neque Cæsar pateretur,que et Cæsar ne souffrit pas
discedi longius,qu'on s'écartât un-pen-loin
"agmine legionum,","de la marche des légions,"
et nocreter hostious,et qu'on nuisit aux ennemis
in vastandis agris,en dévastant leurs champs
faciendisque incendiis,et en faisant (allumant) des incendies
tantum,autant seulement
quantum milites legionarii,que les soldats légionnaires
poterant efficere,pouvaient accomplir
labore atque itinere.,par le travail et la marche.
XX. Interim,XX. Cependant
"Trinobantes, prope firmissima","les Trinobantes,"
civitas prope firmissima,la cité à peu près la plus puissante
"earum regionum,","de ces contrées,"
ex qua,de laquelle
"adolescens Mandubratius,","le jeune Mandubratius,"
"secutus fideem Cæsaris,",ayant suivi (embrassé) le parti de Cæsar.
venerat ad eum,était venu vers lui
in continentiem Galliam,sur le continent de la Gaule
(cujuus pater Imanuentius,(dont le père Imanuentius
obtinuerat regnum,avait occupé la royauté
in ea civitate,dans cette cité
interfectusque erat,et avait été tué
a Cassivellauno;,par Cassivellauno;
ipsa vitaverat mortem,lui-même avait évité la mort
"fuga),","par la fuite),"
mittunt legatos,envoyaient des députés
ad Cæsarem,à César
pollicenturque,et promettaient
sese dedituros ei,de se donner à lui
de se donner à lui,et d'exécuter ses ordres :
atque facturos imperata :,ils demandent
petunt,ut défendat Mandubratium
qu'il protége Mandubratius,qu'il protége Mandubratius
