Latin,Français
ad Ambiorigem;,vers Ambiorix;
apud quos Ambiorix,devant lesquels Ambiorix
locutus est ad hunc modum:,parla de cette manière:
"«Sese confiteri pro beneficiis Cæsaris in se debere plurimum ei, quod opera ejus liberatus esset stipendio quod consuesset pendere Aduatucis, suis finitimis; quodque et filius et filius fratri, quos, missos numero obsidum, Aduatuci tenuissent apud se in servitute et catenis, rerossi essent ei ab Cæsare: neque fecisse aut judicio aut sua voluntate id quod fecerit de oppugnatione castrorum, sed coactu civitatis; suaque imperia esse ejusmodi, ut multitudo non haberet minus juris in se quam ipse in multitudinem. Porro hanc causam belli fuisse civitati, quod non potuerit resistere conjurationi repentina Gallorum: se posse facile probare id ex sua humilitate, quod non sit adoo imperitus rerum, ut confidat se posse superare populum Romanum suis copiis: »","«Lui-même avouer en-raison-des bienfaits de César envers lui-même devoir beaucoup à lui (à César), parce que par l'aide de lui il avait été délivré du tribut qu'il avait-coutume de payer aux Aduatuques, ses voisins; et parce que et son fils et le fils de son frère, lesquels, envoyés an nombre d'otages, les Aduatiques avaient retenu chez eux-mêmes dans l'esclavage et les chaînes, avaient été renvoyés à lui par César : et n'avoir pas fait ou par préférence ou par sa volonté ce qu'il avait fait touchant l'attaque du camp, mais par contrainte de (forcé par) sa cité et son autorité être de-telle-sorte, que la multitude n'eft pas moins de droit(pouvoir), sur lui-même que lui-même sur la multitude. Or cette cause de guerre avoir été à sa cité, qu'elle n'avait pas pu résister à la confédération subite des Gaulois : lui-même pouvoir facilement prouver cela d'après (par) sa faiblesse, parce qu'il n'était pas tellement sans-expérience des affaires, qu'il était-confiance lui-même pouvoir vaincre le peuple romain par ses forces : »"
versa Ambiorix;,devant lesquels Ambiorix
devant lesquels Ambiorix,parla de cette manière:
parla de cette manière:,«Lui-même avouer
«Lui-même avouer,en-raison-des bienfaits de César
en-raison-des bienfaits de César,envers lui-même
envers lui-même,"devoir beaucoup à lui (à César),"
"devoir beaucoup à lui (à César),",parce que par l'aide de lui
parce que par l'aide de lui,il avait été délivré du tribut
il avait été délivré du tribut,qu'il avait-coutume de payer
qu'il avait-coutume de payer,"aux Aduatuques, ses voisins;"
"aux Aduatuques, ses voisins;",et parce que et son fils
et parce que et son fils,"et le fils de son frère,"
"et le fils de son frère,","lesquels,"
"lesquels,","envoyés an nombre d'otages,"
"envoyés an nombre d'otages,",les Aduatiques
les Aduatiques,avaient retenu chez eux-mêmes
avaient retenu chez eux-mêmes,"dans l'esclavage et les chaînes,"
"dans l'esclavage et les chaînes,",avaient été renvoyés à lui
avaient été renvoyés à lui,par César :
par César :,et n'avoir pas fait ou par préférence
et n'avoir pas fait ou par préférence,ou par sa volonté
ou par sa volonté,ce qu'il avait fait
ce qu'il avait fait,touchant l'attaque
touchant l'attaque,"du camp,"
"du camp,",mais par contrainte de (forcé par) sa cité
mais par contrainte de (forcé par) sa cité,et son autorité
et son autorité,"être de-telle-sorte,"
"être de-telle-sorte,",que la multitude
que la multitude,"n'eft pas moins de droit(pouvoir),"
"n'eft pas moins de droit(pouvoir),",sur lui-même
sur lui-même,que lui-même
que lui-même,sur la multitude.
sur la multitude.,Or cette cause de guerre
Or cette cause de guerre,"avoir été à sa cité,"
"avoir été à sa cité,",qu'elle n'avait pas pu résister
qu'elle n'avait pas pu résister,à la confédération subite
à la confédération subite,des Gaulois :
des Gaulois :,lui-même pouvoir facilement
lui-même pouvoir facilement,prouver cela
prouver cela,"d'après (par) sa faiblesse,"
"d'après (par) sa faiblesse,",parce qu'il n'était pas
parce qu'il n'était pas,"tellement sans-expérience des affaires,"
"tellement sans-expérience des affaires,",qu'il était-confiance
qu'il était-confiance,lui-même pouvoir vaincre
lui-même pouvoir vaincre,le peuple romain
le peuple romain,par ses forces :
par ses forces :,
