Latin,Français
convertisseque ad eum omnem multidinem.,et avoir tourné vers lui (César) toute leur multitude.
"Quibus litteris allatis circiter media noote,","Laquelle lettre ayant été apportée environ au milieu-de la nuit,"
Caesar,César
"facit suos certiores,",fait les siens mieux-informés (instruit les
confirmatque eos animo ad dimicandum :,et affermit eux de courage
die postero,pour combattre :
prima luco,le jour suivant
"movet castra,",an point-du jour
et progressus,"il met-en-mouvement son camp,"
quatutor millia passuum,et s'étant avancé
"circiter,",de quatre milliers de pas
conspicatur,"environ,"
multitudinem hostium,il aperçoit
trans magnam vallem,la multitude des ennemis
et rivum.,an dela d'une grande vallée
"Erat res magni periculi,",et d'un ruisseau.
dimicare,"C'était une affaire d'un grand danger,"
cum tantis copiis,de combattre
loco iniquo.,avec de si-grandes forces
"Tum, quoniam sciebat",dans une position défavorable.
Ciceronem,"Alors, parce qu'il savait"
"liberatum obsidione,",Ciceron
eoque existimabat,"délivré du siége,"
remittendum omnino,et pour cela pensait
"de celeritate,",qu'il fallait se relacher de-toute-façon
"consedit,","sur la rapidité,"
communit castra,"il s'arrêta,"
loco,et il fortifie un camp
quam potest æquissimo.,dans un lieu aussi avantageux
"Atque, etsi erant exigua",qu'il peut camper dans le plus avanta-
"per se,","Et, quonqu'il (le camp) fut petit"
septem milliam hominum,"par lui-même,"
"vix,",de sept mille hommes
præsertim,"à peine,"
"cam nullis impedimentis,",surtout
tamen contrahit haec,"avec aucuns bagages,"
maxime quam potest,cependant il resserre ce camp
"angustiis viarum,",le plus qu'il peut
"eo consilio,","par les espaces-étroits des rues,"
ut veniat hostibus,"dans ce dessein,"
in summam contemptio-,qu'il vienne (tombe) pour les ennemis
"Interim,",dans un extrême mépris.
speculatoribus dimissis,"En attendant,"
"in omnes partes,",des éclaireurs étant envoyés
des éclaireurs étant envoyés,"de tous les côtés,"
