Latin,Français
bellow Helvetiorum.,par la guerre des Helvètiens.
Itaque se representaturum,En conséquence lui-même devoir faire-
quod collaturus esset,ce qu'il avait du reporter
"in diem longiorem,","à un jour plus éloigné,"
et moturum castra,et devoir déplacer le camp
nocte proxima,la nuit la plus proche (suivante)
"de quarta vigilia,","à la quatrième veille,"
ut posset intelligere,afin qu'il pût voir
quamprimum,le-plus-tôt-possible
utrumi pudor atque officium,si l'honneur ou le devoir
an timor,ou bien la crainte
valeret apud eos.,avait-force auprès d'eux.
Quod si præterea,Que si d'ailleurs
"nemo sequatur,","personne ne le suivait,"
tamen se iturum,cependant lui-même devoir marcher
"cum decima legione sola,","avec la dixième légion seule,"
de qua non dubitaret;,de laquelle il ne doutait pas;
eamque futuram sibi,et cette légion devoir être pour lui
cohortem prætoriam.,une cohorte prétorienne.
Caesar et induleserat,César et s'était attaché
"haio legioni præcipue,","à cette légion principalement,"
et confidebat maxime,et avait-confiance le plus en elle
propter virtutem.,à-cause-de sa valeur.
XLI. Hac oratione,XLI. Ce discours
"habita,","ayant été tenu,"
mentes omnium,les esprits de tous
conversæ sunt,furent changés
"in modum mirum,","d'une façon étonnante,"
summaque alacritas,et la plus grande ardeur
et cupiditas gerendi belli,et le plus grand désir de faire la guerre
innata est:,naquit-dans les esprits;
decimaque legio princeps,et la dixième légion la première
egit gratias ei,rendit grâces à lui
"per tribunos militum,",par-l'intermédiaire-des tribuns des sol-
quod fecisset de se,de ce qu'il avait fait (exprimé) sur elle
"judicium optimum,","le jugement le meilleur,"
confirmavitque sese,et assura elle-même
esse paratissimam,être très-prête
ad gerendum bellum.,à faire la guerre.
Deinde reliquæ legiones,Ensuite les autres légions
egerunt,plaiderent
per tribunos militum,par-l'intermédiaire-des tribuns des sol-
et centuriones,et des centurions
"primorum ordinum,","des premiers rangs,"
uti satisfacerent,pour qu'elles donnassent-satisfaction
Cæsari :,à César :
"[quam,","""Se neque dubitasse un-"
"""Elles-mêmes et n'avoir douté jamais,""","""Elles-mêmes et n'avoir douté jamais,"""
