Latin,Français
quam Cæsar,comme César
misissetres legiones,avait envoyé trois légions
atque omnem equites,et toute la cavalerie
cum C. Trebonio legato,avec C. Trebonius son lieutenant
"causa pabulandi,","en vue de faire-du-fourrage,"
repente advolaverunt,tout à coup ils s'élançèrent
ex omnibus partibus,de tous les côtés
"ad pabulatores,","vers les fourrageurs,"
sic uti non abisterent,de-telle-sorte qu'ils ne s'éloignaient pas
ab signis legionibusque.,des enseignes et des légions.
"Nostri,","Les nôtres,"
"impetu facto acriter in eos,",une charge ayant été faite vivement
"repulerunt,","les repoussèrent,"
neque fecerunt finem,et ne firent pas une fin (ne cessèrent pas)
"sequendi,","de les poursuivre,"
quoad equites,jusqu' ce que les cavaliers
"confisio,","comprenant sur un appui,"
quum viderent legiones,puisqu'ils voyaient les légions
"post se,","derrière eux,"
egerunt hostes,poissérent les ennemis
præcipites:,fuyant-à-la-hâte:
magnaque numero eorum,et un grand nombre d'eux
"interfecto,","ayant été tué,"
dederunt facultatem,ils ne leur donnèrent la facilité (le temps)
"neque sui colligendi,","ni de se rallier,"
"neque consistendi,","ni de s'arrêter,"
aut desillendi ex caedis.,ou (ni) de sauter-à-bas des chariota.
"Protinus ex hac fuga,","Aussitôt après cette déroute,"
"auxilia,","les troupes-auxiliaires,"
"quæ convenerant undique,","qui avaient afflué de-tous-côtés,"
diocesserunt:,se dispersèrent:
neque unquam,et jamais
post id tempus,après (depuis) ce moment
hostes,les ennemis
contenderunt nobiscum,ne lutterent avec nous
summis copiis.,avec l'ensemble-de leurs troupes.
"XVIII. Cæsar,","XVIII. César,"
"consilio eorum cognito,","la résolution d'eux étant connue,"
duxit exercitum,conduisit son armée
ad flumen Tamesin,vers le fleuve de la Tamise
"in finem Cassivellauni,",sur le territoire de Cassivellaunns;
quod flumen,lequel fleuve
potest transiri pedibus,peut être passé à pied
"uno loco omnino,","dans un seul endroit en tout,"
atque hoc aggre.,et cela difficilement.
"Quam venisset eo,","Comme il était arrivé là,"
"advertit animam,",il tourna son esprit vers ceci (remarqua)
