Latin,Français
consumere estatem,de passer l'été
"in Treviris,","chez les Trevires,"
cænibus rebus comparatis,toutes choses étant préparées
"ad bellum Britannicum,","pour la guerre-Bretagne,"
iussit Indutiomarum,ordonna Indutiomarum
venire ad se,venir vers lui-même
cum ducentis obsidibus.,avec deux cents otages.
"His adductis,","Ceux-ci ayant été amenés,"
in iis filio,et parmi eux le fils
omnibusque propinquis,et tous les proches
"ejus,","de lui,"
quos evocaverat,qu'il avait mandés
"nominatim,","nommément,"
consolatus est Indutioma-,il consola Indutiomare
hortatusque,et l'exhorta
uni permaneret in officio :,pour qu'il perseverât dans le devoir :
"nihilo secius tamen,","en rien moins cependant (néanmoins),"
principibus Trevirorum,les principaux des Trevires
"convocentis ad se,","ayant été appelés vers lui,"
conciliavit hos Cingetorigi,il accommoda ceux-ci avec Cingétorix
singillatim:,un-à-un
quod quam intelligebat,chose que d'un côté il comprenait
fieri ab se,être faite par lui-même (César)
"merito ejus,","selon le mérite de lui (Cingétorix),"
tum arbitrabatur,"et du ""un-autre-est-il estimaît"
interessse magni.,d'un-autre-est-il estimaît
"auctoritatem ejus,","l'autorité de out homme,"
ejus perspexitsest,dont il avait reconnu
voluntatem in se,la bonne-volonté envers lui-même
"tam egregiam,","si excellente,"
valere,avoir-du-pouvoir aussi grandement
quam plurimum,qu'il pouvait en avoir le plus
inter suos.,parmi les siens.
Indutiomarus,Indutiomare
tulit graviter,supporta péniblement
"id factum,","ceci avoir été fait,"
"et, qui jam ante","et, qui déjà auparavant"
fuisset animo inimico,avait été d'une disposition ennemie
"in nos,","envers nous,"
exarsit multo gravius,s'enflamma beaucoup plus fortement
hoc dolore.,par ce ressentiment.
V. His rebus,V. Ces choses
"constitutis,","avaient été établies,"
Cesar cum legionibus,César avec les légions
pervenit ad portum Itium.,arriva au port Itius.
Ibi cognoscit,Là il apprend
Ibi cognoscit,quarante vaisseaux.
