Latin,Français
secuti Cæsarem ex Urba,avant suivi César hors de la ville (Rome)
"causa amicitiae,","par motif d'amitié,"
non habebant,n'avaient pas
magnum usum,grand usage (grande expérience)
in re militari :,dans l'art militaire :
quorum alius,desquels l'un
"alia causa illata,",un autre motif étant apporté;
quam dicerent,qu'ils disaient
esse necessarium sibi,être indispensable à eux-mêmes
"ad proficiscendum,","pour partir,"
petebant ut liceret,demandaient qu'il leur fût permis
discedere voluntate ejus;,de se retirer avec le consentement de lui;
"nonnulli, adducti pudore,","quelques-uns, amenés (déterminés) par la"
"remanebant,","restaient,"
ut vitarent,pour qu'ils évitassent
suspicionem timoris.,le soupçon de peur.
Hi poterant,Ceux-ci ne pouvaient
"neque fingere vultum,","ni faire leur visage,"
neque interdum,ni de-temps-en-temps
tenere lacrimas :,retenir leurs larmes:
"abditi in tabernaculis,","cachés dans leurs tentes,"
aut quærebantur,ou ils se plaignaient
"suum fatum,","de leur destinée,"
ant miserabantur,ou ils déploraient
cum suis familiaribus,avec leurs familiers
periculum commune.,leur danger commun.
Vulgo totis castris,Ca-ét-la dans tout le camp
testamenta obsiguabantur.,des testaments étaient scellés.
Paulatim etiam ii,Peu à peu même ceux
qui habebant,qui avaient
"magnum usum in castris,",une grande pratique dans les camps.
"milites ceionesque,","soldats et centurions,"
"quique præerant equitati,",et ceux qui étaient-à-la-tête-de la
perturbabantur vocibus,cava-éttaient troublés par les paroles
ac timore horum.,et par la crainte de ceux-ci.
Ex his,D'entre ceux-ci
qui volebant,ceux qui voulurent
se existimari,eux-mêmes être estimés
"minus timidos,","moins peureux,"
dicebant,disaient
"se non vereri hostem,","eux-mêmes ne pas redouter l'ennemi,"
sed angustias itineris,mais les rétrécissements de la route
et magnitudinem silvarum,et la grande-étendue des forêts
quæ intercederent,qui étaient-dans-l'intervalle
inter ipsos,entre eux-mêmes
atque Arlovistum.,et Arioste.
aut timere,ou craindre
