Latin,Français
una cum reliqua Gallia.,en-mème-temps avec le reste (qu'au reste)
"Nostra consilia,",Nos desséins
quaeque gerantur,et les choses qui se faisaient
"in castris,","dans le camp,"
enuntiari hostibus,être dénoncés aux ennemis
ab iisdem :,par ces-mêmes hommes :
hos non posse coerceri,ces hommes ne pouvoir être réprimés
a se;,par lui (Liscus);
"quinetiam,","bien plus,"
quod coactus necessario,en ce que force nécessairement (par la
"enuntiarit rem Cæsari,","il avait dénoncé le fait à Cæsar,"
sese intelligere,lui-même comprendre
cum quanto periculo,avec quel-grand danger
"fecerit id,","il avait fait cela,"
et ob eam causam,et pour ce motif
tacuisse quandiu potuerit.,s'être tu tant qu'il avait pu.
XVIII. Cesar sentiebat,XVII. Cesar sentait
"Dumnorigem,","Dumnorix,"
"fratrem Divitiaci,","frère de Divitiacus,"
designari,être désigné
hac oratione Lisci;,par ce discours de Lisci;
"sed, quod nolebat","mais, parce qu'il ne-voulait-pas"
eas res jactari,ces faits être mis-en-avant
"pluribus presentibus,","plusieurs étant-présents,"
dimittit celeriter,il congédie promptement
"concilium,","le conseil,"
retinet Liscum;,retient Liscus;
"quærit ex solo ea,",il fait-des-questions à lui seul sur ce:
quæ dixerat in conventu.,qu'il avait dites daus l'assemblée.
Dicit liberius,Il (Liscus) parle plus librement
atque audacius.,et plus hardiment.
Quærit eadem ab aliis,Il demande ces-mêmes choses à d'autres
secreto;,secrètement;
reperit esse vera.,il reconnaît les faits être vrais.
"« Dumnorigem ipsum,","« Dumnorix lui-même,"
"audacia summa,","d'une audace suprême,"
magna gratia apud plebem,d'un grand crédit auprès du peuple
"propter liberalitatem,","à-cause-de sa libéralité,"
esse cupidum,être désireux
rerum novarum;,d'un état-de-choses nouveau;
habere complures annos,avoir depuis plusieurs années
portoria,les péages
omniaque reliqua vectigalia,et tous les autres revenus
des Eduess,des Eduess
"rachetés (affermes) à petit (bas) prix,","rachetés (affermes) à petit (bas) prix,"
"parce que,","parce que,"
"illo licente,","lui encherissant,"
