Latin,Français
gratia,par son crédit
domi,dans sa patrie
"atque in reliqua Gallia,","et dans le reste de la Gaule,"
ille posset minimum,"et que celui-là (Dumnorix) pouvait très-à-cause-de sa jeunesse,"
"propter adolescentiam,","à-cause-de sa jeunesse,"
crevisset per se,il avait grandi à-l'aide-de lui-même
quibus opibus ac nervis,"desquelles ressources et desquels nerfs,"
intereat non solum,il usait non-seulement
"ad minuendam gratiam,","pour diminuer le crédit de Divitiacus,"
sed pœne,mais presque
ad perniciem suam :,pour la perte de-lui (Divitiacus) :
sese tamen coinmoveri,lui-même cependant être touché
amore fraterno,par l'amour fraternel
et existimatione vulgi.,et par l'opinion du vulgaire.
Quod si quid,Que si quelque chose
accidisset ei gravius,était arrivée à lui (Dumnorix)
"a Cæsare,","de-la-part-de César,"
quum ipse,tandis que lui-même (Divitiacus)
teneret in locum amicitiae,occupait ce rang d'amitié
"apud eum,","auprès de lui (César),"
neminem existimaturum,personne ne devoir estimer
non factum,cela n'avoir pas été fait
voluntate sua :,de la volonté de-lui (Divitiacus) :
ex qua re futurum,de laquelle chose devoir être (il résulterait)
uti animi totius Galliæ,que les cours de toute la Gaule
averterentur a se.,se détourneraient de lui.
Quum fiens,Comme en pleurant
peteret hæc a Cæsare,il demandait ces choses à César
"pluribus verbis,","en plus-de paroles,"
Cæsar,César
prenait dextram ejus;,prend la main droite de lui ;
consolatus,l'ayant consolé
rogat faciat finem,il le prie qu'il fasse fin (qu'il cesse)
orandi;,de plaider ;
ostendit gratiam ejus,il montre le crédit de lui
"esse tanti apud se,",être d'un si-grand prix auprès de lui-
uti condonet,qu'il fasse-remise
voluntati ac precibus ejus,à la volonté et aux prières de lui
et injuriam republicæ,et de l'injure de la république
et suum dolorem.,et de son propre ressentiment.
Vocat ad se Dumnorigem;,Il appelle vers lui Dumnorigem;
adhibet fratrem;,il fait-assister son frère ;
ostendit,il lui montre
quæ reprehendat in eo;,ce qu'il reprend en lui ;
proponit,il lui expose
"quæ ipse intelligat,","ce que lui-même voit (saït ,"
quæ civitas queratur;,ce dont la cité se plaint ;
