Latin,Français
obsides.,comme otages.
Ob eam rem,Pour ce fait
se profugisse ex civitate et venisse Romam,lui-même s'être enfui de la cité et être venu à Rome
ad senatum,vers le sénat
"postulatum auxilium,","solliciter du secours,"
quod solus tenereetur,parce que seul il était tenu (lié)
neque jurejurando,ni par serment
neque obsidibus.,ni par otages.
Sed pejus accidisse,Mais pis était arrivé
Sequanis victoribus,aux Séquaniens victorieux
"quam Æduis victis,","qu'aux Éduens vaincus,"
"propterea quod Ariovistus,","parce qu'Arioviste,"
"rex Germanorum,","roi des Germains,"
consedisset,s'était établi
in finibus corum,sur les terres d'eux
occupavissetque,et s'était enparé
tertiam partem,de la troisième partie
"agri Sequani,","du territoire séquanien,"
qui esset optimus,qui était le meilleur
"totius Galliæ,","de toute la Gaule,"
et nunc jubaret,et maintenant ordonnait
Sequanos decedere,les Séquaniens se retirer
"de altera tertia parte,",de la seconde troisième partie (du second
propterea quod,parce que
paucis mensibus ante,peu-de mois auparavant
quatuor et viginti millia,quatre et vingt (vingt-quatre) milliers
hominum Harudum,d'hommes harudes
"venissent ad eum,","étaient venus vers lui,"
quibus locus ac sedes,auxquels une place et une demeure
pararentur.,devaient être préparées.
Futurum esse paucis annis,Devoir être (il arriverait) en-peu-d'années
uti omnes pellerentur,que tous les Gaulois seraient chassés
ex finibus Galliæ,du territoire de la Gaule
aique omnes Germani,et que tous les Germains
transirent Rhenum :,passeraient le Rhin :
neque enim Gallicum,et en effet le territoire gaulois
conferendum esse,me devoir pas être comparé
conferendum esse,"avec le territoire des Germains,"
"cum agro Germanorum,",et l'habitude de vie
neque consuetudinem vic-,de-ceux-ci (des Gaulois)
hanc,ne devoir pas être miso-en-parallèle
comparandam,avec celle de-ceux-là.
cum illa.,
"Ariovistum autem,","Or Arioviste,"
ut semel vicerit proelio,combat
"copias Gallorum,",des qu'ane-fois il avait vaincu en un
quod proelium factum sit,"les troupes des Gaulois,"
lequel combat avait été fait (livre),lequel combat avait été fait (livre)
