Latin,Français
qui eo tempore,qui en ce temps
obtinebat principatum in civitate,occupait le premier-rang dans la cité
"ac erat maxime acceptus plebi,","et était le plus agréable au peuple,"
"ut conaretur idem, datque ei suam filium in matrimonium.","qu'il tentât de faire la même chose, et il donne à lui sa fille en mariage."
"Probat illis esse perfacile factu perficere conata, propterea quod ipse obtenturus esset imperium","Il prouve à eux être très-facile à être fait (à faire) d'achever ces entreprises, parce que lui-même devait obtenir l'empire"
obtenturus esset imperium suæ civitatis;,de sa cité;
non esse dubium quin Helvetii,disent n'être pas douteux que les Helvètiens
possent plurimum totius Galliæ;,ne fussent-puissants le plus de toute la Gaule;
totius Galliæ confirmat,il assure
se conciliaturum regnaillis suis copiis suoque exercitu.,se conciliaturum regnaillis suis copiis suoque exercitu.
"Adducti hac oratione, dant inter se fidem et jusjurandum,","Adducti hac oratione, dant inter se fidem et jusjurandum,"
"et sperant, regno occupato, sese posse potiri totius Galliæ","et sperant, regno occupato, sese posse potiri totius Galliæ"
per tres populos potentissimos ac firmissimos.,per trois populos potentissimos ac firmissimos.
"IV. Ut ea res emuntiata est Helvetiis per indicium, suis moribus coegerunt Orgetorigem dicere causam ex vinculis :","IV. Dès que ce fait eut été révélé aux Helvètiens par une dénonciation, d'après leurs mœurs ils forcèrent Orgétorix à dire (plaidier) sa cause dans des lions :"
"ex vinculis : oportebat ponam, ut cremaretur igni, sequi damnatum.","il fallait un châtiment, à saroir qu'il fût brûlé par le feu,"
"Die dictionis causa constituta, Orgetorix coegit undique ad iudicium omnem suam familiam, ad decem millia hominum, et conduxit eodem","auivre lui condamné (sa condamnation). Le jour de la plaidoirie de la cause avait été établi, Orgetorix rassembla de-tous-côtes auprès du tribunal toute sa famille, qui allait à dix milliers d'hommes, et il réunit au-mêne-endroit"
qui eo tempore obtinebat principatum in civitate,qui en ce temps occupait le premier-rang dans la cité
"ac erat maxime acceptus plebi,","et était le plus agréable au peuple,"
"plebi, ut conaretur idem, datque ei suam filium in matrimonium.","qu'il tentât de faire la même chose, et il donne à lui sa fille en mariage."
"Probat illis esse perfacile factu perficere conata, propterea quod ipse obtenturus esset imperium","Il prouve à eux être très-facile à être fait (à faire) d'achever ces entreprises, parce que lui-même devait obtenir l'empire"
obtenturus esset imperium suæ civitatis;,de sa cité;
non esse dubium quin Helvetii possent plurimum totius Galliæ;,que les Helvètiens ne fussent-puissants le plus de toute la Gaule;
totius Galliæ confirmat,il assure
se conciliaturum regnaillis suis copiis suoque exercitu.,se conciliaturum regnaillis suis copiis suoque exercitu.
"Adducti hac oratione, dant inter se fidem et jusjurandum,","Adducti hac oratione, dant inter se fidem et jusjurandum,"
"et sperant, regno occupato, sese posse potiri totius Galliæ","et sperant, regno occupato, sese posse potiri totius Galliæ"
per tres populos potentissimos ac firmissimos.,per trois populos potentissimos ac firmissimos.
"IV. Ut ea res emuntiata est Helvetiis per indicium, suis moribus coegerunt Orgetorigem dicere causam ex vinculis :","IV. Dès que ce fait eut été révélé aux Helvètiens par une dénonciation, d'après leurs mœurs ils forcèrent Orgétorix à dire (plaidier) sa cause dans des lions :"
"ex vinculis : oportebat ponam, ut cremaretur igni, sequi damnatum.","il fallait un châtiment, à saroir qu'il fût brûlé par le feu,"
"Die dictionis causa constituta, Orgetorix coegit undique ad iudicium omnem suam familiam, ad decem millia hominum, et conduxit eodem","auivre lui condamné (sa condamnation). Le jour de la plaidoirie de la cause avait été établi, Orgetorix rassembla de-tous-côtes auprès du tribunal toute sa famille, qui allait à dix milliers d'hommes, et il réunit au-mêne-endroit"
